"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","6917573295","111585","348593","61993","19852125","4942097","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","5740774005","111765","126238","51364","12520525","497607","Partner","false","English","https://www.twitch.tv/xqc"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","4397973510","140745","215660","31247","3313124","540770","Partner","false","English","https://www.twitch.tv/tarik"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","3849415755","150030","82098","25657","3059503","239714","Partner","false","English","https://www.twitch.tv/hasanabi"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","3220207860","233130","48921","13812","6401532","80412","Partner","false","English","https://www.twitch.tv/summit1g"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","3039775005","486285","295493","6250","6807320","379434","Partner","false","English","https://www.twitch.tv/eslcs"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","2968378320","146070","207866","20321","2402428","550107","Partner","false","English","https://www.twitch.tv/zackrawrr"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","2661562515","150090","127557","17733","1600214","154799","Partner","false","English","https://www.twitch.tv/fextralife"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","2351358060","136335","102970","17246","10652899","3020501","Partner","false","English","https://www.twitch.tv/jynxzi"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2349633915","144330","156716","16279","11300789","301582","Partner","false","English","https://www.twitch.tv/shroud"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","k3soju","2233826220","146310","30882","15267","666717","117813","Partner","false","English","https://www.twitch.tv/k3soju"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","2209898940","125355","56762","17629","2996817","44631","Partner","false","English","https://www.twitch.tv/lirik"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/d5a4b94c-5f59-4136-9e00-3311b06fdc63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BLASTPremier","2076746145","50430","440432","41180","2350285","420151","Partner","false","English","https://www.twitch.tv/blastpremier"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Quin69","1993852185","176880","53894","11272","950819","98894","Partner","false","English","https://www.twitch.tv/quin69"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","1849771905","34950","824255","52926","7358758","306437","Partner","false","English","https://www.twitch.tv/riotgames"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ohnePixel","1813814130","123300","236159","14710","2930487","785787","Partner","false","English","https://www.twitch.tv/ohnepixel"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/b470b382-2bd7-489f-9755-1af47d0b0f6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LEC","1812610305","48120","211881","37668","2109683","181798","Partner","false","English","https://www.twitch.tv/lec"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Gorgc","1796462325","153735","48808","11685","774286","77939","Partner","false","English","https://www.twitch.tv/gorgc"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/ee612ff1-397f-411b-aeb0-6ac53219de31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","scump","1653994935","83265","176972","19864","1954433","282705","Partner","false","English","https://www.twitch.tv/scump"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVNDMARK","1634585340","162975","165048","10029","1483913","152419","Partner","false","English","https://www.twitch.tv/lvndmark"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","1626781920","106230","100121","15313","8966121","65010","Partner","false","English","https://www.twitch.tv/sodapoppin"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","1594283745","97320","52943","16381","5496662","125037","Partner","false","English","https://www.twitch.tv/loltyler1"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MOONMOON","1582172430","115440","28517","13705","1183323","31862","Partner","false","English","https://www.twitch.tv/moonmoon"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CohhCarnage","1519197690","159945","70985","9498","1714648","88408","Partner","false","English","https://www.twitch.tv/cohhcarnage"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/f700cd74-e74c-42a4-ba5b-18efb486eb92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Clix","1511255235","111420","129457","13563","8581081","1296538","Partner","false","English","https://www.twitch.tv/clix"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","1503163725","103815","185921","14479","1579991","227726","Partner","false","English","https://www.twitch.tv/caedrel"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/0b0601ac-1ec9-4d63-89a4-f8d3d14e6e78-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mizkif","1450168260","68445","75678","21187","2156606","23882","Partner","false","English","https://www.twitch.tv/mizkif"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/6d306649-dd15-4db8-82d8-655694ba692f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ImperialHal__","1362200460","108480","50783","12557","2097677","208347","Partner","false","English","https://www.twitch.tv/imperialhal__"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/3313f669-483c-4f60-bab4-c6e37bae2ecd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESL_DOTA2","1329626310","352665","157027","3770","866271","108822","Partner","false","English","https://www.twitch.tv/esl_dota2"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","forsen","1326744930","123255","40472","10764","1784606","80826","Partner","false","English","https://www.twitch.tv/forsen"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GamesDoneQuick","1307893305","169785","90350","7703","2071075","43862","Partner","false","English","https://www.twitch.tv/gamesdonequick"
