"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/bf6a04cf-3f44-4986-8eed-5c36bfad542b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","11619430905","123465","672744","94111","19852125","7324852","Partner","false","English","https://www.twitch.tv/kaicenat"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jynxzi","4815798525","92910","228099","51833","10652899","3215910","Partner","false","English","https://www.twitch.tv/jynxzi"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","4741249590","145440","372043","32599","1579991","451883","Partner","false","English","https://www.twitch.tv/caedrel"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","caseoh_","4393804545","81105","110574","54174","8679697","4713104","Partner","false","English","https://www.twitch.tv/caseoh_"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4296539790","165990","312431","25884","3059503","244956","Partner","false","English","https://www.twitch.tv/hasanabi"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","3764892090","136380","216159","27605","2402428","350513","Partner","false","English","https://www.twitch.tv/zackrawrr"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","3299215695","271395","38926","12156","6401532","74604","Partner","false","English","https://www.twitch.tv/summit1g"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","2894110185","108735","278904","26616","3313124","299911","Partner","false","English","https://www.twitch.tv/tarik"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/be4e8251-2cd7-453c-8a83-41412cfa48dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lord_Kebun","2182964670","142710","44884","15296","708949","124260","Partner","false","English","https://www.twitch.tv/lord_kebun"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2181991740","158565","57205","13760","11300789","362454","Partner","false","English","https://www.twitch.tv/shroud"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","2081876505","131190","68656","15869","5496662","127957","Partner","false","English","https://www.twitch.tv/loltyler1"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","2059974195","465240","226273","4428","6807320","193015","Partner","false","English","https://www.twitch.tv/eslcs"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","1972137540","125865","42265","15668","2996817","26235","Partner","false","English","https://www.twitch.tv/lirik"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/9a1edcb1-7d62-48ab-b071-1ef64ab0f629-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PirateSoftware","1941153375","170355","54841","11394","872417","962587","Partner","false","English","https://www.twitch.tv/piratesoftware"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/5742b015-e6ed-4f7c-a1dd-87cd88fe1eb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ohnePixel","1937130465","83985","166356","23065","2930487","442062","Partner","false","English","https://www.twitch.tv/ohnepixel"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Quin69","1807046535","186000","59450","9715","950819","76672","Partner","false","English","https://www.twitch.tv/quin69"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/14f0fcfd-00d4-4004-9379-93e0c6336f5e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PlaqueBoyMax","1765498245","137595","52135","12831","2436241","806999","Partner","false","English","https://www.twitch.tv/plaqueboymax"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/0b0601ac-1ec9-4d63-89a4-f8d3d14e6e78-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mizkif","1694396790","79095","81632","21422","2156606","59878","Partner","false","English","https://www.twitch.tv/mizkif"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/a04be2b0-9cc1-403c-a4b0-47b32d1fe640-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jasontheween","1683431940","158235","69068","10638","2296742","731461","Partner","false","English","https://www.twitch.tv/jasontheween"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/020d2ed3-c2f2-4d33-805f-92cf966a9c43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stableronaldo","1661540910","131385","94114","12646","4712149","753400","Partner","false","English","https://www.twitch.tv/stableronaldo"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","1624099275","55005","70547","29526","12520525","52172","Partner","false","English","https://www.twitch.tv/xqc"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/c2aca19b-b318-4398-99a5-fb6a597536fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ironmouse","1609955820","191805","36838","8393","2435431","397665","Partner","false","English","https://www.twitch.tv/ironmouse"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","k3soju","1590891285","116910","25376","13607","666717","67024","Partner","false","English","https://www.twitch.tv/k3soju"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/48487d3b-e713-4a49-ad35-dec6ab7d690e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lacy","1575455805","158745","44732","9924","2594232","854462","Partner","false","English","https://www.twitch.tv/lacy"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","1573730595","116655","67788","13490","8966121","33338","Partner","false","English","https://www.twitch.tv/sodapoppin"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Gorgc","1482214920","156570","32523","9466","774286","42029","Partner","false","English","https://www.twitch.tv/gorgc"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/476ee93d-66a6-4e57-b3a9-db1ceb168ad8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","EsfandTV","1477893600","216150","61987","6837","1371346","106992","Partner","false","English","https://www.twitch.tv/esfandtv"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/f700cd74-e74c-42a4-ba5b-18efb486eb92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Clix","1475828415","111225","147735","13268","8581081","1114418","Partner","false","English","https://www.twitch.tv/clix"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GamesDoneQuick","1383661155","256410","90139","5396","2071075","51828","Partner","false","English","https://www.twitch.tv/gamesdonequick"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MOONMOON","1340958735","113565","29968","11807","1183323","11109","Partner","false","English","https://www.twitch.tv/moonmoon"
