"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","5544309495","80475","3846256","68894","19849963","1823789","Partner","false","Spanish","https://www.twitch.tv/ibai"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","2174698665","44595","274905","48765","17010016","762935","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","1759482885","73425","383747","23963","16429486","802638","Partner","false","Spanish","https://www.twitch.tv/rubius"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","1730087130","51675","205005","33480","4583146","374979","Partner","false","Spanish","https://www.twitch.tv/illojuan"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","1235241360","86370","85202","14301","4405242","491051","Partner","false","Spanish","https://www.twitch.tv/elxokas"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/6d3b4513-6824-4912-848c-dc046ee262ad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mixwell","1142716200","105450","75898","10836","1276053","151388","Partner","false","Spanish","https://www.twitch.tv/mixwell"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","knekro","1092520080","148695","33773","7347","1289006","83631","Partner","false","Spanish","https://www.twitch.tv/knekro"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/12e13232-fdcd-4e75-88d3-f73682a03e24-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DessT3","939403725","109710","29383","8562","617790","213302","Partner","false","Spanish","https://www.twitch.tv/desst3"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","897485925","48375","52844","18552","11004256","1053823","Partner","false","Spanish","https://www.twitch.tv/elmariana"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/881bf9b5-a6bb-419a-950a-b15a36e0dd0e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kingsleague","885713415","30675","119607","28874","3279516","231707","Partner","false","Spanish","https://www.twitch.tv/kingsleague"
