"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/duendepablo-profile_image-ed26f1563b2056ec-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DuendePablo","123649815","99015","4279","1248","939283","73542","5347052","Partner","false","Spanish","https://www.twitch.tv/duendepablo"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/584cee47-98ca-49ea-b689-aab63c3b10d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","lolesportsla","115199520","61665","30162","1867","683967","60271","3532074","Community","false","Spanish","https://www.twitch.tv/lolesportsla"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","102500370","13920","92096","7363","19849963","150847","3279157","Partner","false","Spanish","https://www.twitch.tv/ibai"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","97271430","40620","8729","2394","4583146","90831","2189297","Partner","false","Spanish","https://www.twitch.tv/illojuan"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/4f88afa8-3a4c-4432-af4c-1c9ec861493f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","OMENbyHPEurope","96171405","54495","66403","1764","103960","31756","37975254","Partner","false","Spanish","https://www.twitch.tv/omenbyhpeurope"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/b41d3e0f-5502-482a-ad09-189523c0a0af-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Esportmaniacos","93894540","81510","15367","1151","179701","22566","6130167","Partner","false","Spanish","https://www.twitch.tv/esportmaniacos"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/soyfelipez360-profile_image-75a6427850e34957-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","SoyFelipez360","92955900","68850","5672","1349","252243","45442","3124833","Partner","false","Spanish","https://www.twitch.tv/soyfelipez360"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/b0e3867e-39c6-43ad-941e-0100c5c5f368-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","goncho","92452440","35370","16110","2613","1356536","82143","2879521","Partner","true","Spanish","https://www.twitch.tv/goncho"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/f8bb9c67-375d-478f-8853-ae669e8563b6-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ElRichMC","92435865","16740","33115","5521","1479429","158588","4027457","Partner","false","Spanish","https://www.twitch.tv/elrichmc"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/146e433d-f948-4304-9dfa-0505b898079f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ESL_CS_ES","90228570","343335","14658","262","299325","34894","4190540","Partner","false","Spanish","https://www.twitch.tv/esl_cs_es"
