"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GamesDoneQuick","2511646530","68250","219649","36800","2071075","230380","58860871","Partner","false","English","https://www.twitch.tv/gamesdonequick"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","2509686420","119040","89170","21082","2996817","209973","49899542","Partner","false","English","https://www.twitch.tv/lirik"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","2412139740","127215","88144","18960","6766464","1018492","44552109","Partner","false","English","https://www.twitch.tv/nickmercs"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TimTheTatman","2332204020","110040","95700","21193","7612246","1010717","50378804","Partner","false","English","https://www.twitch.tv/timthetatman"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","2084987715","105270","89387","19805","5496662","827723","43379297","Partner","false","English","https://www.twitch.tv/loltyler1"
"16","https://static-cdn.jtvnw.net/user-default-pictures-uv/215b7342-def9-11e9-9a66-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","dakotaz","1902811515","147675","79966","12884","4637303","1015559","33889194","Partner","false","English","https://www.twitch.tv/dakotaz"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CohhCarnage","1690528845","151035","43615","11192","1714648","140272","32771338","Partner","false","English","https://www.twitch.tv/cohhcarnage"
"18","https://static-cdn.jtvnw.net/jtv_user_pictures/be4e8251-2cd7-453c-8a83-41412cfa48dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lord_Kebun","1684689165","143490","40164","11740","708949","313341","19120428","Partner","false","English","https://www.twitch.tv/lord_kebun"
"19","https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MOONMOON","1659814680","134250","40673","12363","1183323","184173","19623107","Partner","false","English","https://www.twitch.tv/moonmoon"
"20","https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DrDisrespect","1624033110","74970","97540","21661","4450718","862434","46464024","Partner","false","English","https://www.twitch.tv/drdisrespect"
"21","https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","forsen","1427829945","121575","46569","11743","1784606","199442","25248872","Partner","false","English","https://www.twitch.tv/forsen"
