"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","8847081540","215010","222720","41146","12520525","5364951","132751155","Partner","false","English","https://www.twitch.tv/xqc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","6505033950","221550","310998","29361","6401532","1696810","94561929","Partner","false","English","https://www.twitch.tv/summit1g"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","4786942590","518580","300575","9230","6807320","892718","128514894","Partner","false","English","https://www.twitch.tv/eslcs"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","4406970885","127065","163241","34682","6766464","1691981","54622518","Partner","false","English","https://www.twitch.tv/nickmercs"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","4096418850","143265","105499","28593","5496662","1059740","67469321","Partner","false","English","https://www.twitch.tv/loltyler1"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","4009993485","175785","68795","22811","1600214","445534","720291870","Partner","false","English","https://www.twitch.tv/fextralife"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TimTheTatman","3427872990","106380","335403","32222","7612246","1729529","56882290","Partner","false","English","https://www.twitch.tv/timthetatman"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Asmongold","3316320495","76545","187953","43324","3430784","549313","52747691","Partner","false","English","https://www.twitch.tv/asmongold"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/f65f290a-d37e-4c33-bc74-de6049eddf55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","3147036030","137475","190173","22891","11537464","2429948","73128517","Partner","false","English","https://www.twitch.tv/tfue"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","3136184805","158025","107432","19845","8966121","3359738","45684665","Partner","false","English","https://www.twitch.tv/sodapoppin"
