"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","7081224255","64785","317437","109303","17010016","4557864","133216503","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","6181486545","84075","1538645","73523","19849963","4404701","176880410","Partner","false","Spanish","https://www.twitch.tv/ibai"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","4686003540","130470","2298485","35916","12287099","3633896","143902875","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","4218338625","137310","110574","30721","11674676","3617172","95246098","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3617714805","72360","215369","49996","16429486","3046600","106705022","Partner","false","Spanish","https://www.twitch.tv/rubius"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/523c5814-19c9-4de3-bc70-ca0899555bf9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jelty","2359530735","188880","73422","12492","3088711","1738401","63694564","Partner","false","Spanish","https://www.twitch.tv/jelty"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","1560469545","86175","106025","18108","4583146","774184","35364912","Partner","false","Spanish","https://www.twitch.tv/illojuan"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVPes","1468663200","86580","208475","16963","1085937","171303","47120741","Community","false","Spanish","https://www.twitch.tv/lvpes"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","1394272470","138915","79066","10036","4405242","1311256","41777932","Partner","false","Spanish","https://www.twitch.tv/elxokas"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/770ffd55-c47a-4625-9158-595af4987a22-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elded","1257900285","146940","56650","8560","5685307","1219050","27741085","Partner","false","Spanish","https://www.twitch.tv/elded"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","1116403485","53160","71906","21000","11004256","2817584","21699305","Partner","false","Spanish","https://www.twitch.tv/elmariana"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","knekro","1030849650","140355","52659","7344","1289006","289579","27147969","Partner","false","Spanish","https://www.twitch.tv/knekro"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/folagorlives-profile_image-2456af9afdbefda3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","FolagorLives","1027172535","143835","48555","7141","1761342","377647","21566740","Partner","false","Spanish","https://www.twitch.tv/folagorlives"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/4de1a3ee-1b98-4c6c-9ba8-01a1e45c9fb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","coscu","944064150","94785","317576","9959","3864364","847924","29125069","Partner","true","Spanish","https://www.twitch.tv/coscu"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/57f99710-6d23-4690-a3c0-ff2c09f10b53-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Cristinini","888253935","110610","57105","8030","3149883","1277595","44372966","Partner","false","Spanish","https://www.twitch.tv/cristinini"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/78528288-6216-4e21-872b-7f415b602a9a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alexelcapo","872619375","92880","103217","9395","1097619","154532","24909355","Partner","false","Spanish","https://www.twitch.tv/alexelcapo"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/6213a284-c133-41cf-ad99-ebef738eb550-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Perxitaa","784908090","72690","80283","10798","2548607","748670","20864310","Partner","false","Spanish","https://www.twitch.tv/perxitaa"
