"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","4091684295","95700","533239","42754","19849963","4106694","114612647","Partner","false","Spanish","https://www.twitch.tv/ibai"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/f1ea7d5a-ab2c-4e91-bba5-3ce211adfc3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","4053369015","51630","191742","78507","17010016","5101415","75975467","Partner","false","Spanish","https://www.twitch.tv/auronplay"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","3758366400","66900","344676","56178","16429486","4687367","87615652","Partner","false","Spanish","https://www.twitch.tv/rubius"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/bc9e7c87-c85a-45a6-9e45-0eb1e87eb47a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","2797431870","71850","538444","38933","12287099","4208983","71129838","Partner","false","Spanish","https://www.twitch.tv/thegrefg"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","1923408060","141525","140500","13590","11674676","2218439","31704639","Partner","false","Spanish","https://www.twitch.tv/juansguarnizo"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/d51c0f47-1f76-4e4f-b633-4986d894ba07-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Reborn","1133920305","63150","113707","17955","2501386","1359089","25451475","Partner","false","Spanish","https://www.twitch.tv/reborn"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/770ffd55-c47a-4625-9158-595af4987a22-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elded","1132007895","115125","44758","9832","5685307","1739335","21600675","Partner","false","Spanish","https://www.twitch.tv/elded"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVPes","1075497360","91185","95207","11794","1085937","159590","53872079","Community","false","Spanish","https://www.twitch.tv/lvpes"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/4de1a3ee-1b98-4c6c-9ba8-01a1e45c9fb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","coscu","989782665","85155","393619","11622","3864364","1535943","30627917","Partner","true","Spanish","https://www.twitch.tv/coscu"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/e0359da7-2d8f-4c40-80ac-e740be910057-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Brunenger","939463740","193650","151531","4850","1012915","894450","22947817","Partner","false","Spanish","https://www.twitch.tv/brunenger"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/folagorlives-profile_image-2456af9afdbefda3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","FolagorLives","891660630","130620","57813","6825","1761342","525343","17054409","Partner","false","Spanish","https://www.twitch.tv/folagorlives"
