"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","16355625675","218100","175453","74991","12520525","2496466","221231390","Partner","false","English","https://www.twitch.tv/xqc"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","5508843420","216870","106801","25401","6401532","291068","74516866","Partner","false","English","https://www.twitch.tv/summit1g"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","5097450900","150975","340617","33763","11300789","1191248","125009176","Partner","false","English","https://www.twitch.tv/shroud"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","4934399820","181320","223056","27213","3059503","885087","54284621","Partner","false","English","https://www.twitch.tv/hasanabi"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/b04e20be-6c0b-4379-b163-7f9a928e03f0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","4822221525","114660","371609","42056","6766464","1424950","66218881","Partner","false","English","https://www.twitch.tv/nickmercs"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loltyler1","4605786840","160485","98136","28699","5496662","723978","75783827","Partner","false","English","https://www.twitch.tv/loltyler1"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","4493018730","491835","267681","9135","6807320","788238","140684539","Partner","false","English","https://www.twitch.tv/eslcs"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/f067a235-27d9-415d-b25f-15387d7c972e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RanbooLive","4072643340","54105","346132","75273","4272591","3538030","61090108","Partner","false","English","https://www.twitch.tv/ranboolive"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/feea7bcc-6e6c-489d-9a58-20058fc8be7a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sykkuno","3628816335","111180","108251","32639","3785931","1620075","63181498","Partner","false","English","https://www.twitch.tv/sykkuno"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ROSHTEIN","3598748400","197220","67600","18247","1041742","395159","43754957","Community","true","English","https://www.twitch.tv/roshtein"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","3499326975","92535","854781","37816","7358758","1031458","72611631","Partner","false","English","https://www.twitch.tv/riotgames"
