"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/0fe47b00-0b13-4022-9e31-442460f8c56b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","viviendoenlacalle","537809385","342060","13215","1572","392715","259880","Partner","false","Spanish","https://www.twitch.tv/viviendoenlacalle"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/e4b8f0d6-91ed-4233-b923-aae2c9269992-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","QuackityToo","523721025","12870","98885","40693","4931955","1288452","Partner","false","Spanish","https://www.twitch.tv/quackitytoo"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/ecdaaa4a-bf6d-4126-9c81-707a60b681c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HITBOXKING","474067575","172230","21971","2752","591815","91924","Partner","false","Spanish","https://www.twitch.tv/hitboxking"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/6d3b4513-6824-4912-848c-dc046ee262ad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mixwell","458700540","54270","61445","8452","1276053","111529","Partner","false","Spanish","https://www.twitch.tv/mixwell"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/c6e828c6-5427-4d82-8263-dc2467b3b492-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","AgustinUnaplay8","426779340","82590","21039","5167","365494","86109","Partner","false","Spanish","https://www.twitch.tv/agustinunaplay8"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/b0e3867e-39c6-43ad-941e-0100c5c5f368-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","goncho","425405010","97140","22337","4379","1356536","206113","Partner","true","Spanish","https://www.twitch.tv/goncho"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/folagorlives-profile_image-2456af9afdbefda3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","FolagorLives","423015150","124320","29224","3402","1761342","81467","Partner","false","Spanish","https://www.twitch.tv/folagorlives"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/f01671f9-b022-42eb-9be1-9756a9e17bb8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nissaxter","419288835","95730","16047","4380","857468","107418","Partner","false","Spanish","https://www.twitch.tv/nissaxter"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/1aabdb2f-a3bf-4482-bf8a-f89d0d3b9d48-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RDjavi","411789705","56385","19015","7303","838769","453046","Partner","false","Spanish","https://www.twitch.tv/rdjavi"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/b64f8a6d-64b9-4b36-b0ba-e2c9ba103574-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Robleis","408717240","60075","60540","6803","5900036","978673","Partner","false","Spanish","https://www.twitch.tv/robleis"
