Año,Ranking,Streamer,País,Categoria_principal,Subcategoria,Género,Tipo_streamer,Horas_vistas,Viewers_pico,Viewers_medios,Seguidores_total,Seguidores_ganados
2025,37,ElAbrahaham,España,Just Chatting,Humor,Hombre,Individual,3703184,28638,3421,1701869,742138
2025,38,ElChiringuitoTV,España,Deportes,TV,Organización,Organización,3676842,22864,1411,1076658,36943
2025,39,Nexxuz,España,Gaming,Fútbol,Hombre,Individual,3659711,7219,3089,447961,46652
2025,40,LVPes,España,Deportes,Esports,Organización,Organización,3621256,16028,1815,1085937,-2135
2025,41,TomateKing,España,Gaming,Variedad,Hombre,Individual,3418452,8079,3807,258836,28391
2025,42,Staryuuki,España,Gaming,Variedad,Mujer,Individual,3389204,16162,2400,3544754,87441
2025,43,Toniki,España,Gaming,Variedad,Hombre,Individual,3348679,20166,1761,326080,30403
2025,44,mfreak00,España,Gaming,Variedad,Hombre,Individual,3305629,14025,1549,103849,16722
2025,45,Silithur,España,Gaming,WoW,Hombre,Individual,3287990,18421,1477,626405,18358
2025,46,SirMaza,España,Gaming,Variedad,Hombre,Individual,3197966,11406,1788,479884,44246
2025,47,LUZU_TV,Argentina,Variedad,Just Chatting,Hombre,Individual,3184554,8929,1101,504951,47108
2025,48,Zeling,España,Gaming,Variedad,Mujer,Individual,3118245,9408,2405,628393,39630
2025,49,DiarioMARCA,España,Deportes,Periodismo,Organización,Organización,3091145,62592,9660,40858,1488
2025,50,GUANYAR,España,Gaming,Variedad,Hombre,Individual,3089552,26820,3671,625936,65733
