Año,Ranking,Streamer,Idioma,Horas_vistas,Viewers_pico,Viewers_medios,Seguidores_total,Seguidores_ganados,País,Categoria_principal,Subcategoria,Género,Tipo_streamer
2025,26,LVNDMARK,Inglés,32166984,114077,10938,1483913,147628,EE.UU.,Gaming,FPS,Hombre,Individual
2025,27,sasavot,Ruso,32155955,99873,19283,1799444,952460,Rusia,Gaming,Variedad,Hombre,Individual
2025,28,k4sen,Japonés,31400605,128089,15827,1018360,110187,Japón,Gaming,Variedad,Hombre,Individual
2025,29,TheBurntPeanut,Inglés,30628263,88552,12145,2360379,1299950,Reino Unido,Gaming,Variedad,Hombre,Individual
2025,30,DDG,Inglés,30510580,205741,14171,2199791,1706568,EE.UU.,Just Chatting,Variedad,Hombre,Individual
2025,31,zarbex,Alemán,29500884,58722,14068,1314669,483983,Alemania,Gaming,Variedad,Hombre,Individual
2025,32,NoWay4u_Sir,Alemán,28992926,34653,10800,780777,47672,Alemania,Gaming,LoL,Hombre,Individual
2025,33,yourragegaming,Inglés,28155105,61572,15753,2096794,314167,EE.UU.,Gaming,Variedad,Hombre,Individual
2025,34,Tumblurr,Italiano,27817103,226112,26954,2014313,164850,EE.UU.,Gaming,Variedad,Hombre,Individual
2025,35,Rubius,Español,27418461,206194,22604,16435773,506920,España,Gaming,Variedad,Hombre,Individual
2025,36,Trymacs,Alemán,27412094,155337,11652,3930460,178512,Alemania,Gaming,Variedad,Hombre,Individual
2025,37,knekro,Español,27212396,145054,11655,1289167,92478,España,Gaming,WoW,Hombre,Individual
2025,38,ESLCS,Inglés,27048786,198900,3414,6807320,178469,Alemania,Deportes,Esports,Organización,Organización
2025,39,LIRIK,Inglés,27011729,34248,13321,2996817,12889,EE.UU.,Gaming,Variedad,Hombre,Individual
2025,40,Recrent,Ruso,26463246,119109,9215,1959288,346525,Alemania,Gaming,Variedad,Hombre,Individual
2025,41,tarik,Inglés,25933986,104971,16465,3313124,71159,EE.UU.,Gaming,FPS,Hombre,Individual
2025,42,Quin69,Inglés,25485169,39204,8832,950819,58148,EE.UU.,Gaming,Variedad,Hombre,Individual
2025,43,Anyme023,Francés,25374605,150376,22050,2530959,2241418,Francia,Gaming,Variedad,Hombre,Individual
2025,44,Agent00,Inglés,25071500,99323,13826,3304244,1043279,EE.UU.,Gaming,Variedad,Hombre,Individual
2025,45,ramzes,Ruso,24504922,88423,18195,655182,184347,Rusia,Gaming,Dota 2,Hombre,Individual
2025,46,dota2_winline_ru,Ruso,24047877,95742,14874,550125,103421,Rusia,Deportes,Esports,Organización,Organización
2025,47,Emiru,Inglés,23940807,60629,19046,2116763,301532,EE.UU.,Gaming,Variedad,Mujer,Individual
2025,48,alanzoka,Portugués,23704966,69851,13337,8045394,439339,Brasil,Gaming,Variedad,Hombre,Individual
2025,49,JLTomy,Francés,22999686,28943,11101,1400027,57754,España,Gaming,Variedad,Hombre,Individual
2025,50,shadowkekw,Ruso,22964739,419963,35007,1323770,477800,Alemania,Gaming,Variedad,Hombre,Individual
